"Title","Publication number","Publication date","Inventor(s)","Applicant(s)","International classification","Cooperative Patent Classification","Application number","Date of application","Priority number(s)","Patents cited in the search report","Literature cited in the search report","Patents cited during examination","Literature cited during examination","Other patent citations","Other literature citations","Patents used in opposition","Literature used in opposition","Patents cited by the applicant","Literature cited by the applicant","International search citation","International search NPL citation","Supplementary international search citation","Supplementary international search NPL citation"
"MEDICAL DEVICE WITH SEALING ASSEMBLY","US2018318546 (A1)","2018-11-08","POPPE KEVIN ROBERT [US];  FOSTER DANIEL J [US];  SCHEFF CHRISTOPHER JAY [US];  SWEHLA BRADLEY S [US]","BOSTON SCIENT SCIMED INC [US]","A61M25/00","A61F2/966; A61M25/0014; A61M25/003; A61M25/0054; A61F2002/9517; A61F2/962; A61F2002/9665; A61M25/0052; A61M2025/0059; A61M2025/0681","US201815969817","20180503","US201815969817 20180503; US201762500990P 20170503","","","","","","","","","","","","","",""
"COMPOSITIONS FOR REGENERATION AND REPAIR OF NEURAL TISSUE","US2018303974 (A1)","2018-10-25","BARANES DANNY [IL];  WEISS ORLY EVA [IL];  CHANJI EYAL [IL];  HAMMER LIAT [IL];  MORAD TZACHY [IL];  MERFIELD IDO [IL]","ARIEL UNIV RESEARCH AND DEVELOPMENT COMPANY LTD [IL]","A61L27/46; A61L27/36; A61L27/38; A61L27/44; A61L27/54","A61L27/3616; A61L27/3675; A61L27/38; A61L27/446; A61L27/46; A61L27/54; A61L2300/414; A61L2300/426; A61L2300/43; A61L2430/32","US201615769349","20161103","US201562250017P 20151103; US201615769349 20161103; WO2016IL51193 20161103","","","","","","","","","","","","","",""
"INTERFACE SYSTEM IN AN EXOSKELETON","US2018303699 (A1)","2018-10-25","ROMO HARRY DUANE [US];  KIRUKI PATRICK [US];  PALSDOTTIR HELGA RUN [IS]","OSSUR ICELAND EHF [IS]","A61H3/00","A61F5/013; A61H1/0274; A61H3/00; A61H2003/007; A61H2201/0192; A61H2201/1614; A61H2201/1621; A61H2201/1623; A61H2201/163; A61H2201/1635; A61H2201/1638; A61H2201/165; A61H2201/1652","US201815961069","20180424","US201815961069 20180424; US201762489618P 20170425; US201762583140P 20171108; US201762590844P 20171127","","","","","","","","","","","","","",""
"COMPOSITIONS AND METHODS FOR PROTECTING PLANTS FROM ORGANISMS","US2018303089 (A1)","2018-10-25","GITTINS DAVID [US];  O'NEIL JAMES [US]","IMERYS FILTRATION MINERALS INC [US]","A01N25/22; A01N31/16; A01N43/22","A01N25/22; A01N31/16; A01N43/22; A01N59/00; A01N25/04; Y02A50/359; A01N59/00; A01N25/04","US201615767493","20161012","US201615767493 20161012; US201562240721P 20151013; US201662355312P 20160627; WO2016US56537 20161012","","","","","","","","","","","","","",""
"LEG EXOSKELETON SYSTEM AND METHOD","US2018296425 (A1)","2018-10-18","LAMB CALLUM RUSSELL [US];  NUCCI GIANCARLO SIGURD SANTE [US];  LAMSON KYLE ALLEN [US];  SWIFT TIMOTHY ALAN [US];  PIERCY BRENTON [US];  LYNN PETER STURT [US]","OTHER LAB LLC [US]","A61H3/00; A63C11/16","A61H3/00; A63C11/16; A61H2003/001; A61H2003/007; A61H2201/0103; A61H2201/1207; A61H2201/1238; A61H2201/1261; A61H2201/1642; A61H2201/165; A61H2201/1671; A61H2201/5007; A61H2201/5012; A61H2201/5061; A61H2201/5064; A61H2201/5084; A63C2203/50","US201815953296","20180413","US201815953296 20180413; US201762485279P 20170413","","","","","","","","","","","","","",""
"APPARATUSES, SYSTEMS AND METHODS FOR CONTROLLING EXOSKELETONS","US2018296426 (A1)","2018-10-18","KAPPEL LILACH HAVIDA [IL]","REWALK ROBOTICS LTD [IL]","A61H3/02","A61H1/024; A61H1/0244; A61H1/0266; A61H3/02; A61H2003/001; A61H2201/1207; A61H2201/1623; A61H2201/1628; A61H2201/164; A61H2201/165; A61H2201/501; A61H2201/5046; A61H2201/5061; A61H2201/5064; A61H2201/5069; A61H2201/5071; A61H2201/5079; A61H2201/5082; A61H2201/5084; A61H2201/5092; A61H2201/5097","US201615768484","20161016","US201615768484 20161016; US201562242780P 20151016; WO2016IL51125 20161016","","","","","","","","","","","","","",""
"Six Degrees of Freedom Self Balanced Hybrid Serial-Parallel Robotic Systemfor Rehabilitation of Upper and Lower Limbs, Left and Right","US2018289577 (A1)","2018-10-11","DANIELI GUIDO [IT]","CALABRIAN HIGH TECH SRL [IT]","A61H1/02","A61H1/02; A61H1/0237; A61H1/0255; A61H1/0274; A61H1/0277; A61H1/0281; A61H2201/1635; A61H2201/164; A61H2201/1659; A61H2201/5038; A61H2201/5061; A61H2201/5064; A61H2230/825","US201615545032","20160118","WO2016IB50217 20160118; IT2015CS00001 20150118; IT2016UB00136 20160118","","","","","","","","","","","","","",""
"CONCERTED USE OF NONINVASIVE NEUROMODULATION DEVICE WITH EXOSKELETON TO ENABLE VOLUNTARY MOVEMENT AND GREATER MUSCLE ACTIVATION WHEN STEPPING IN A CHRONICALLY PARALYZED SUBJECT","US2018280693 (A1)","2018-10-04","EDGERTON VICTOR REGGIE [US];  GERASIMENKO YURI P [US];  GAD PARAG [US]","UNIV CALIFORNIA [US]","A61N1/36; A61H1/02; A61N1/04; B25J9/00","A61F5/01; A61G5/14; A61H1/024; A61H1/0244; A61H1/0262; A61H3/00; A61N1/0408; A61N1/0456; A61N1/0476; A61N1/0484; A61N1/36003; A61N1/36034; B25J9/0006; A61H1/0277; A61H1/0281; A61H3/02; A61H2201/10; A61H2201/1207; A61H2201/1614; A61H2201/1623; A61H2201/1628; A61H2201/1635; A61H2201/164; A61H2201/165; A61H2201/50; A61H2201/5025; A61H2201/5061; A61H2201/5064; A61N1/36031; A61N1/36057","US201615753963","20160826","US201615753963 20160826; US201562210070P 20150826; WO2016US49129 20160826","","","","","","","","","","","","","",""
"METHOD OF COMBATTING HUMAN HEAD LICE","US2018271102 (A1)","2018-09-27","JOHANNESSEN BAARD [NO]","NETTFORSK AS [NO]","A01N53/00; A01N25/00; A01N25/34; A01N47/12; A01N47/22; A01N57/12; A01N57/14; A01N57/16; A01N57/20","A01N25/34; A01N47/00; A01N53/00; A01N57/00; A01N57/12; A61K8/37; A61K8/55; A61K31/215; A61K31/325; A61K31/66; A61Q5/02; A01N53/00; A01N25/00; A01N25/34; A01N57/12; A01N53/00; A01N25/00; A01N47/12; A01N47/22; A01N57/14; A01N57/16; A01N57/20; A01N53/00; A01N2300/00","US201815988358","20180524","US201815988358 20180524; GB20070013790 20070716; US20100669110 20100311; WO2008GB02441 20080716","","","","","","","","","","","","","",""
"SELF-ASSEMBLING MAGNETIC ANASTOMOSIS DEVICE HAVING AN EXOSKELETON","US2018263627 (A1)","2018-09-20","BEISEL ROBERT F [US];  LUKIN PETER [US];  MCWEENEY JOHN [US];  RYOU MARVIN [US];  THOMPSON CHRISTOPHER [US];  WINKLER JOSEF K [US]","G I WINDOWS INC [US]","A61B17/11","A61B17/11; A61B17/1114; A61B2017/00809; A61B2017/00818; A61B2017/00876; A61B2017/1117; A61B2017/1132; A61B2017/1139; A61B17/122","US201815988640","20180524","US201815988640 20180524; US201715707716 20170918; US201414522977 20141024; US201313896670 20130517; US20110984803 20110105; US201261649248P 20120519; US20100292313P 20100105","","","","","","","","","","","","","",""
"Ensuring Operator Engagement in an Exoskeleton Bionic Device","US2018264642 (A1)","2018-09-20","HARDING NATHAN [US];  MCCAFFREY NIEL [US];  AMUNDSON KURT [US];  SANDLER REUBEN [US];  ZOSS ADAM [US];  STRAUSSER KATHERINE [US]","EKSO BIONICS INC [US]","B25J9/00; A61H3/00; G16H40/63","A61H1/0255; A61H3/00; B25J9/0006; G16H40/63; A61B5/1172; A61H3/02; A61H2201/0176; A61H2201/0184; A61H2201/0188; A61H2201/164; A61H2201/165; A61H2201/1676; A61H2201/5007; A61H2201/5012; A61H2201/5028; A61H2201/5041; A61H2201/5043; A61H2201/5048; A61H2201/5058; A61H2201/5064; A61H2201/5082; A61H2201/5084; A61H2201/5092; A61H2201/5097; A61H2205/088; A61H2205/102; Y10S901/01","US201615571201","20160504","US201615571201 20160504; US201562157241P 20150505; WO2016US30771 20160504","","","","","","","","","","","","","",""
"METHODS AND APPARATUSES FOR EXOSKELETON ATTACHMENT","US2018257216 (A1)","2018-09-13","SHAVIT AVIHAY [IL]","REWALK ROBOTICS LTD [IL]","B25J9/00; A61H1/02","A61H1/0255; A61H1/0262; A61H3/00; B25J9/0006; A61H2003/007; A61H2201/1207; A61H2201/149; A61H2201/1623; A61H2201/1628; A61H2201/164; A61H2201/1642; A61H2201/1645; A61H2201/165; A61H2201/1652; A61H2201/1676; A61H2201/5007; A61H2201/5058; A61H2201/5061; A61H2201/5069; A61H2201/5084","US201615742396","20160706","US201615742396 20160706; US201562189148P 20150706; WO2016IL50723 20160706","","","","","","","","","","","","","",""
"LOAD-BEARING EXOSKELETON","US2018257217 (A1)","2018-09-13","JOHNSON DANIEL D [US];  GURM HITINDER S [US]","UNIV MICHIGAN REGENTS [US]","B25J9/00; A61F5/01; B25J19/00","A61F5/0102; A61F5/0123; A61H1/0255; A61H3/00; B25J9/0006; B25J19/0012; B25J19/0016; A61F2005/0137; A61F2005/0158; A61F2005/0167; A61F2005/0169; A61F2005/0197; A61H2201/0107; A61H2201/0165; A61H2201/0176; A61H2201/1207; A61H2201/1614; A61H2201/1619; A61H2201/1628; A61H2201/164; A61H2201/165; A61H2201/1676; A61H2201/169; A61H2203/0406","US201615756467","20160902","US201615756467 20160902; US201562214401P 20150904; WO2016US50077 20160902","","","","","","","","","","","","","",""
"POWERED EXOSKELETON AND STABILIZING STRUCTURE THEREOF","US2018256435 (A1)","2018-09-13","ZHANG YING [CN];  ZHANG YIFEI [CN];  ZHAO KAI [CN];  GU YU [CN];  DING HONGLI [CN]","BOE TECHNOLOGY GROUP CO LTD [CN]","A61H3/00","A61H1/02; A61H3/00; B25J9/0006; A61H2201/0119; A61H2201/0165; A61H2201/0173; A61H2201/0192; A61H2201/0196; A61H2201/12; A61H2201/123; A61H2201/1246; A61H2201/1463; A61H2201/164; A61H2201/165; A61H2201/1671; A61H2201/1676; A61H2201/5007; A61H2201/5061; A61H2201/5071; A61H2230/00","US201715798505","20171031","CN201710138833 20170309","","","","","","","","","","","","","",""
"DESIGN AND USE OF A LEG SUPPORT EXOSKELETON","US2018250187 (A1)","2018-09-06","TUNG WAYNE [US];  PILLAI MENERVA [US];  KAZEROONI HOMAYOON [US]","U S BIONICS INC [US]","A61H3/00; A61H1/02","A61H1/024; A61H3/00; A61H2201/1207; A61H2201/1246; A61H2201/164; A61H2201/1642; A61H2201/165; A61H2201/1652; A61H2201/1676; A61H2201/5007; A61H2201/5061; A61H2203/0406; A61H2203/0418; A61H2205/102","US201815972419","20180507","US201815972419 20180507; US201715647856 20170712; US201615194489 20160627; US201562185185P 20150626","","","","","","","","","","","","","",""
"EXOSKELETON VEHICLE UPPER BODY STRUCTURE","US2018244313 (A1)","2018-08-30","PASTRICK RICHARD DANIEL [US];  GALLAGHER STEPHEN WILLIAM [US]","FORD GLOBAL TECH LLC [US]","B62D23/00; B62D21/04; B62D25/02; B62D25/06","B62D21/04; B62D23/005; B62D25/025; B62D25/06","US201815969101","20180502","US201815969101 20180502; US201615278722 20160928","","","","","","","","","","","","","",""
"Systems and Methods for Creating Custom-Fit Exoskeletons","US2018243155 (A1)","2018-08-30","ANGOLD RUSS [US];  PREUSS ADAM [US];  FLEMING NICHOLAS [US];  AMUNDSON KURT [US]","EKSO BIONICS INC [US]","A61H3/00; B33Y50/00; B33Y80/00; G01B11/24; G06T17/00; G06T19/20","A61B5/0064; A61B5/1079; A61F5/01; A61H3/00; B33Y10/00; B33Y30/00; B33Y50/00; B33Y80/00; F41H1/02; G01B11/24; G06T17/00; G06T19/20; A61H2003/007; A61H3/02; A61H2201/1207; A61H2201/1628; A61H2201/164; A61H2201/1647; A61H2201/165; A61H2201/5007; F41H5/013; G06T2200/08; G06T2219/2008","US201515758148","20150909","WO2015US49169 20150909","","","","","","","","","","","","","",""
"MODULAR SEMI-ACTIVE JOINT EXOSKELETON","US2018243120 (A1)","2018-08-30","WU SHANG-LI [US];  KAZEROONI HOMAYOON [US]","UNIV CALIFORNIA [US]","A61F5/01","A61F2/644; A61F2/68; A61F5/0123; A61F5/0125; B25J9/0006; A61F2002/5018; A61F2002/503; A61F2002/5033; A61F2002/5075; A61F2002/5079; A61F2005/0141; A61F2005/0144; A61F2005/0158; A61F2005/0169; A61F2005/0179","US201815898102","20180215","US201815898102 20180215; US201762459564P 20170215","US4310932 (A); US6086616 (A); WO2004000178 (A1); US3823424 (A)","","","","","","","","","","","","",""
"EXOSKELETON WHEELCHAIR SYSTEM","US2018221226 (A1)","2018-08-09","MOORE DOUGLAS [US];  LEE CHRISTOPHER PAUL [US]","TOYOTA ENG & MFG NORTH AMERICA [US]","A61G5/14; A61G5/10; A61G5/12","A61G5/04; A61G5/127; A61G5/128; A61G5/14; A61H1/0237; A61H1/024; A61H1/0262; A61H1/0266; A61H3/00; A61H3/04; A61G5/121; A61G5/122; A61G5/125; A61H2201/0173; A61H2201/1215; A61H2201/1269; A61H2201/1623; A61H2201/164; A61H2201/1671; A61H2201/1676; A61H2201/5007; A61H2201/5023; A61H2201/5025; A61H2205/10; A61H2205/102","US201715423780","20170203","US201715423780 20170203","","","","","","","","","","","","","",""
"SYSTEM AND METHOD FOR USER INTENT RECOGNITION","US2018221237 (A1)","2018-08-09","SWIFT TIMOTHY ALAN [US];  COX NICOLAS [US];  KEMPER KEVIN CONRAD [US]","OTHER LAB LLC [US]","A61H3/00; G05B13/02; G06F8/65; G16H40/67","A61H1/0237; A61H1/0274; A61H3/00; G05B13/026; G05B13/0265; G06F8/65; G16H20/30; G16H40/63; G16H40/67; G16H50/20; G16H50/30; G16H50/50; G16H50/70; A61H2003/001; A61H2201/1238; A61H2201/164; A61H2201/165; A61H2201/5007; A61H2201/501; A61H2201/5023; A61H2201/5038; A61H2201/5043; A61H2201/5046; A61H2201/5058; A61H2201/5061; A61H2201/5064; A61H2201/5084; A61H2205/10","US201815887866","20180202","US201815887866 20180202; US201762454575P 20170203; US201762485284P 20170413","","","","","","","","","","","","","",""
"DIGITAL ANATOMICAL VIRTUAL EXTREMITIES FOR RE-TRAINING PHYSICAL MOVEMENT","US2018214768 (A1)","2018-08-02","MACRI VINCENT J [US];  MACRI VINCENT JAMES [US];  ZILBER PAUL [US]","MACRI VINCENT J [US];  MACRI VINCENT JAMES [US];  ZILBER PAUL [US]","A63F13/212; A63B71/06","A63B71/0622; A63F13/212; G09B19/003; A63B2071/0638; A63B2071/0647; A63F13/211; A63F13/285; A63F2300/8082","US201815880271","20180125","US201815880271 20180125; US201313841901 20130315; US201514891789 20151117; WO2014US38447 20140516; US201261665221P 20120627; US201361830465P 20130603; US201361824892P 20130517; US201762499977P 20170209; US201762499453P 20170125","","","","","","","","","","","","","",""
"EXOSKELETON ROBOT","US2018200878 (A1)","2018-07-19","TSAI YI-JENG [TW];  TENG MING-CHANG [TW]","FREE BIONICS TAIWAN INC [TW]","B25J9/00; A61F2/70; A61H1/02","A61F2/70; A61H1/0262; A61H1/0266; A61H3/00; B25J9/0006; A61H2201/0192; A61H2201/1207; A61H2201/164; A61H2201/165; A61H2201/1671; A61H2201/1676; A61H2205/12","US201715811102","20171113","US201715811102 20171113; US201762445940P 20171113","","","","","","","","","","","","","",""
"EXOSKELETON LEGS TO REDUCE FATIGUE DURING REPETITIVE AND PROLONGED SQUATTING","US2018200135 (A1)","2018-07-19","TUNG WAYNE [US];  PILLAI MINERVA V [US];  HATCH JAMES [US];  KAZEROONI HOMAYOON [US];  YANGYUENTHANASAN THEERAPAT [US];  MARUO YUSUKE [US];  CUBAN DAVID [US]","UNIV CALIFORNIA [US]","A61H3/00; A61H1/02","A61H1/024; A61H3/00; A61H2201/1207; A61H2201/1246; A61H2201/164; A61H2201/1642; A61H2201/165; A61H2201/1652; A61H2201/1676; A61H2201/5007; A61H2201/5058; A61H2201/5061; A61H2201/5069; A61H2201/5084; A61H2203/0406; A61H2203/0418; A61H2205/102","US201715813013","20171114","US201715813013 20171114; US201715647856 20170712; US201615194489 20160627; US201662421720P 20161114; US201562185185P 20150626","","","","","","","","","","","","","",""
"Tunable Actuator Joint Modules Having Energy Recovering Quasi-Passive Elastic Actuators for Use within a Robotic System","US2018193172 (A1)","2018-07-12","SMITH FRASER M [US];  OLIVIER MARC X [US];  COLVIN GLENN [US]","SARCOS CORP [US]","A61F2/70; A61F2/64","A61F2/64; A61F2/70; B25J9/0006; B25J9/148; B25J17/0241; A61F2002/5003; A61F2002/5018; A61F2002/701; A61F2002/745","US201715810108","20171112","US201715810108 20171112; US201662421175P 20161111","","","","","","","","","","","","","",""
"REDUCED FLUORINE CRUSTACEAN POLAR PHOSPHOLIPID COMPOSITIONS","US2018168187 (A1)","2018-06-21","JANSSON STIG TORE KRAGH [NO];  ERVIK JON REIDAR [NO];  GRIMSMO LEIF [NO]","RIMFROST TECH AS [NO]","A23J1/04; A23L5/20; A23L17/40; A23L33/18; A61K35/612","A23J1/04; A23J3/34; A23J7/00; A23L5/20; A23L5/25; A23L17/40; A23L33/18; A61K35/612; A23V2002/00","US201815891985","20180208","US201815891985 20180208; NO20080003906 20080912; US201514923954 20151027; US201314074392 20131107; US201113063488 20110524; WO2009NO00322 20090914","","","","","","","","","","","","","",""
"ENERGY STORAGE DEVICE FOR AN EXOSKELETON","US2018161188 (A1)","2018-06-14","ZISTATSIS JESSICA [US];  BERGESON JEFFREY [US];  GONG ALEX [US];  NEUMAN KIRA [US];  PARRISH DANIEL [US]","UNIV WASHINGTON [US]","A61F5/01; A61F2/50; A61H1/02; A61H3/00; B25J9/00","A61F2/50; A61F5/0102; A61H1/02; A61H1/0237; A61H1/024; A61H1/0244; A61H1/0266; A61H3/00; A61H3/008; B25J9/0006; A61F2002/5073; A61H2003/007; A61H2201/0173; A61H2201/0192; A61H2201/12; A61H2201/14; A61H2201/163; A61H2201/164; A61H2201/165; A61H2201/1671; A61H2203/0406; A61H2205/10","US201715836415","20171208","US201715836415 20171208; US201662431552P 20161208","","","","","","","","","","","","","",""
"FLEXIBLY DRIVEN ROBOTIC HANDS","US2018296419 (A1)","2018-10-18","TONG KAI YU [CN];  LI ZHENG [CN];  HEUNG HO LAM [CN];  JIRALERSPONG TRIVORAMAI [TH];  WONG CHOI LING [CN]","UNIV HONG KONG CHINESE [HK]","A61H1/02","A61H1/00; A61H1/02; A61H1/0285; A61H1/0288; B25J9/00; B25J9/0006; B25J9/142; A61H2001/0207; A61H2201/0103; A61H2201/1409; A61H2201/165; A61H2201/5069; A61H2201/5071; A61H2205/067; A61H2230/105; A61H2230/605","US201715488121","20170414","US201715488121 20170414","US4733603 (A); US6447425 (B1); US2008300692 (A1); US2013253705 (A1); US2017119614 (A1); US9506455 (B2); US2017119614 (A1); US6447425 (B1); US4733603 (A); US2013253705 (A1); US2008300692 (A1); US6901840 (B1); US4644938 (A); US2003110938 (A1)","","","","","","","","","","","","",""
"BODY MOUNTING SYSTEM FOR AN EXOSKELETON VEHICLE","US2018148103 (A1)","2018-05-31","CASTILLO BRIAN V [US];  BRYER GILES D [US];  GIBSON JOHN [US]","GM GLOBAL TECH OPERATIONS LLC [US]","B62D24/02; B62D23/00","B62D23/005; B62D24/02; B60Y2400/48","US201615362142","20161128","US201615362142 20161128","","","","","","","","","","","","","",""
"PROSTHETIC OR EXOSKELETON COMPONENT, PROSTHESIS OR EXOSKELETON, AND METHOD","US2018147074 (A1)","2018-05-31","BATTLOGG STEFAN [AT]","INVENTUS ENG GMBH [AT]","A61F2/68; A61F2/64; A61F2/50; A61F2/70; A61F2/76; F16F9/53","A61F2/64; A61F2/68; A61F2002/5004; A61F2002/5033; A61F2002/6881; A61F2002/704; A61F2002/705; A61F2002/7615; A61F2002/762; F16F9/535","US201615575213","20160518","DE201510107783 20150518; WO2016EP61148 20160518","","","","","","","","","","","","","",""
