Research Arm Test	Research Arm Test								
results show	results show								
robot arm	robot arm								
robotic therapy	robotic therapy								
SCI patients	SCI patients								
sEMG signals	sEMG signals								
sensing system	sensing system								
series elastic	series elastic								
series elastic actuator	series elastic actuator								
significant difference	significant difference								
significant improvements	significant improvements								
sliding mode control	sliding mode control								
spinal cord injury	spinal cord injury								
stance phase	stance phase								
step initiation	step initiation								
stroke patients	stroke patients								
stroke rehabilitation	stroke rehabilitation								
stroke subjects	stroke subjects								
stroke survivors	stroke survivors								
surface EMG	surface EMG								
swing leg	swing leg								
swing phase	swing phase								
swivel angle	swivel angle								
torque control	torque control								
torque estimation	torque estimation								
tracking error	tracking error								
tracking performance	tracking performance								
training device	training device								
training sessions	training sessions								
trajectory tracking	trajectory tracking								
trunk muscles	trunk muscles								
upper arm	upper arm								
upper limb	upper limb								
upper limb exoskeleton	upper limb exoskeleton								
upper limb rehabilitation	upper limb rehabilitation								
upper-limb exoskeleton	upper-limb exoskeleton								
upper-limb exoskeleton robot	upper-limb exoskeleton robot								
upper-limb rehabilitation	upper-limb rehabilitation								
walking ability	walking ability								
walking assistance mechanism	walking assistance mechanism								
wheelchair users	wheelchair users								
									
